nbhd_num,x_coord,y_coord
1,-118.18575898913112,34.49558240532869
2,-118.30031366821902,34.03136317646977
3,-118.76056324304635,34.15108528684858
4,-118.3123856711333,34.510665556605694
5,-118.13547146347817,34.083993973052166
6,-117.74280981425893,33.5437604892717
7,-117.72995962978567,33.57793596925508
8,-118.33495526561711,33.88848740491664
9,-118.1355545510571,34.19344425696991
10,-117.8588897338214,33.838598766820056
11,-117.90888596770684,34.290019644404794
12,-118.03731281382825,34.13415261385594
13,-118.43214492192578,34.24130770482231
14,-118.32143387216124,34.043828896290606
15,-118.08062708115627,33.86762322069855
16,-118.30324414575624,33.92348191696546
17,-118.26505501377596,34.12605308415108
18,-118.33122981858854,33.334025534650536
19,-118.00357802201796,34.038306870941945
20,-117.91216179385182,34.1390721614061
21,-118.35466410636799,34.015477895795016
22,-117.9719278660874,34.08296450952115
23,-118.46112201130418,34.099257627129596
24,-118.12704219621928,33.88792699550226
25,-118.15501099551452,33.966281502485
26,-118.17992739045002,33.97977698986165
27,-118.42695944475567,34.11169504649449
28,-118.37129340042695,34.07564317520632
29,-118.40210538605285,34.07857664822033
30,-118.39375068224284,34.044733060223685
31,-118.2089104370735,34.038546765946876
32,-117.96827270431154,34.1533692672766
33,-117.85865047504124,33.92927769649733
34,-118.49512624004342,34.08857834270349
35,-118.27484784178553,33.94151250763507
36,-118.00446375124696,33.85738656430313
37,-118.3234596915032,34.18793922974202
38,-118.67747341822805,34.14139588352521
39,-118.6005567601029,34.20909801763775
40,-118.25618844897599,33.837611315025455
41,-118.36951932889684,34.058100467005396
42,-118.45756963538447,34.55062489430138
43,-118.63142165239722,34.47690592647647
44,-118.24774694267771,34.00519598138145
45,-118.41553887598364,34.05497108686153
46,-118.06869001769866,33.867854005710186
47,-117.8563578773674,34.10243468889655
48,-118.60105757017656,34.257305200298156
49,-118.63033735572408,34.232349738723634
50,-118.31325851362087,33.983794873538386
51,-118.40913183407594,34.04032031094158
52,-118.23497437462282,34.063786169555776
53,-117.89088237868401,34.11542456572807
54,-117.72074753497157,34.12957543817774
55,-117.54608167396859,33.6965540076891
56,-118.15188897974254,33.99622414985526
57,-118.22769302880651,33.893075068682585
58,-117.9138121149566,33.66681541758596
59,-117.58656370136377,33.59668733945707
60,-117.88071712071113,34.08977507413353
61,-118.18314872523169,33.96307882562818
62,-118.39676241570864,34.00573002396965
63,-118.03857811948062,33.8170677373772
64,-118.22453149894612,34.09100085385685
65,-117.69639879057762,33.473159304002536
66,-118.36929349125718,33.91667620712249
67,-118.42387170946088,33.98969773942609
68,-118.1535335506255,34.59023724917701
69,-117.81628937595019,33.999033433217676
